"","cod_regsaude",".index",".value",".model_id",".model_desc",".key","tipo",".conf_lo",".conf_hi","arquivo_origem"
"193",16001,"2010-07-01",860,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"194",16001,"2012-11-01",886,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"195",16001,"2020-05-01",792,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"196",16001,"2004-11-01",789,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"197",16001,"2006-12-01",852,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"198",16001,"2008-07-01",794,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"199",16001,"2011-02-01",750,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"200",16001,"2009-12-01",851,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"201",16001,"2022-05-01",805,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"202",16001,"2013-01-01",901,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"203",16001,"2016-11-01",896,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"204",16001,"2007-03-01",824,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"205",16001,"2022-01-01",747,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"206",16001,"2014-06-01",826,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"207",16001,"2003-11-01",809,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"208",16001,"2010-05-01",793,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"209",16001,"2000-01-01",852,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"210",16001,"2019-04-01",831,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"211",16001,"2003-01-01",815,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"212",16001,"2004-03-01",662,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"213",16001,"2007-12-01",844,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"214",16001,"2017-02-01",725,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"215",16001,"2011-05-01",838,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"216",16001,"2016-06-01",862,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"217",16001,"2004-05-01",702,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"218",16001,"2018-01-01",860,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"219",16001,"2021-06-01",783,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"220",16001,"2020-12-01",783,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"221",16001,"2023-08-01",741,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"222",16001,"2020-01-01",862,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"223",16001,"2002-09-01",840,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"224",16001,"2017-11-01",927,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"225",16001,"2020-06-01",772,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"226",16001,"2007-05-01",763,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"227",16001,"2008-05-01",839,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"228",16001,"2009-05-01",799,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"229",16001,"2019-12-01",836,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"230",16001,"2023-03-01",665,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"231",16001,"2015-12-01",932,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"232",16001,"2020-08-01",785,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"233",16001,"2014-11-01",989,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"234",16001,"2021-10-01",857,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"235",16001,"2001-01-01",794,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"236",16001,"2015-03-01",896,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"237",16001,"2018-07-01",872,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"238",16001,"2005-05-01",758,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"239",16001,"2023-01-01",764,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"240",16001,"2004-12-01",766,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"241",16001,"2010-02-01",745,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"242",16001,"2023-06-01",691,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"243",16001,"2018-02-01",784,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
